user_id,item_id
106,2773 1800 584 793 2342 802 2240 3258 159 285
107,2474 1828 1223 2006 37 2273 327 1888 2240 2334
108,618 573 3125 2293 3409 512 1814 2839 1127 99
109,3187 2338 3363 978 396 3485 1426 1425 2201 3015
110,472 2389 1316 3153 2664 28 384 3269 741 2953
111,2603 1960 785 476 138 1615 246 530 175 2673
112,452 2777 726 2570 3694 2933 611 94 1429 538
113,1211 2988 2128 2297 944 603 2757 1753 1546 1018
114,3540 1322 639 1129 261 1116 1639 1893 3055 2608
115,530 1948 2432 783 74 3255 289 1049 3661 1673
116,394 331 1377 734 983 1754 327 1888 2334 1144
117,2947 3272 94 793 1814 1726 755 2237 1052 189
118,1246 2561 472 152 2365 2998 2402 3258 628 2834
119,2421 3535 29 3231 2700 426 856 523 1279 3269
120,2410 3113 3101 110 1977 2371 2354 658 1762 1807
121,3000 2980 3335 1498 2140 1888 3666 2334 1425 2796
122,2947 3646 79 2366 2054 2387 506 451 755 3051
123,2597 2739 2666 24 1054 239 838 1446 684 3589
124,3701 2222 1227 2175 3534 3367 1617 3353 872 2480
125,1078 2510 2784 463 1928 12 922 2484 3086 1376
126,2617 640 3482 2169 2515 605 1124 3005 176 186
127,3124 2746 3589 478 1039 1657 1583 2616 3269 971
128,465 791 781 335 1493 525 3293 1582 2836 2593
129,1223 1316 3151 2258 2510 2502 305 6 3023 2314
130,2194 472 1279 1223 796 2570 2557 2991 416 406
131,3365 2256 429 802 3111 2699 3205 2920 3701 2643
132,3338 29 3227 1504 1003 1467 108 2025 2979 1215
133,830 1445 2485 3179 734 2535 3660 501 2010 2050
134,2430 3379 2056 1083 2328 3475 2682 20 1134 1840
135,2308 1309 3067 1023 2598 182 1071 619 3345 175
136,1545 2338 1884 2205 2814 2227 1811 3390 1033 2308
137,1711 989 1438 1822 3406 232 3205 1813 434 2345
138,60 2467 2673 3004 956 1150 2141 957 1181 211
139,3335 2308 44 1186 365 2165 421 3659 3557 1707
140,728 2902 1315 2424 887 1888 2334 1467 285 108
141,584 1376 3262 1373 1848 1830 1671 1640 3371 782
142,2557 3529 225 618 1888 2334 676 1467 2369 3240
143,1337 2586 739 2574 1700 2914 1425 2796 676 1003
144,3591 872 2652 35 2170 2050 626 671 3344 1462
145,2048 1969 743 1329 1850 142 1939 2618 616 1044
146,1315 2774 221 2354 2048 2828 1459 1443 2474 1160
147,1137 1655 3146 1688 37 3496 1149 1807 2432 2006
148,25 3628 423 1546 452 1450 3539 3274 1177 232
149,904 3685 1560 707 3668 1293 2277 383 3016 1731
150,1109 748 592 312 3539 1545 3035 2561 2814 702
151,2646 1211 2210 214 1086 2501 476 2331 535 1030
152,1958 3040 612 2143 2695 3483 1574 2082 1519 83
153,3409 190 106 984 2688 2817 2389 2054 1057 1888
154,1879 215 1146 2617 384 2336 476 463 1186 2256
155,124 2924 2128 138 2338 1888 2240 2334 3015 2796
156,717 216 3046 3021 2912 1124 515 1220 2295 1510
157,2460 487 1758 1177 3075 801 3529 3339 406 2240
158,411 3038 163 1615 3438 1337 3600 1348 1246 232
159,3276 1103 3255 2076 989 1077 658 1304 783 2769
160,2420 944 1582 1593 2738 3573 2658 153 494 3016
161,214 3245 2281 1186 2284 1811 3224 3443 22 1354
162,618 1560 2830 2510 209 1888 3666 2334 1425 2201
163,1753 2297 3349 2602 774 2342 2980 1546 3172 2541
164,738 3287 1960 214 2480 475 2136 254 2900 3401
165,3415 2933 511 1633 2240 2201 2234 1144 2796 676
166,1802 453 1705 3191 2250 2158 121 318 1711 707
167,2140 176 3677 3372 2027 3608 1518 3051 1888 2234
168,2950 780 1835 3071 779 2384 190 1828 3431 2479
169,2617 2898 2076 2512 748 2873 1304 1731 1012 3441
170,3365 2067 2493 3409 3013 305 1011 2210 2534 3272
171,3670 402 1830 133 3063 609 3666 2796 3258 285
172,691 993 94 487 2006 2 529 986 3276 2353
173,382 3602 1633 3660 2376 3269 2840 3690 3352 2240
174,817 3352 506 2428 1105 1501 2348 2584 3055 2174
175,3253 1697 2849 2840 3382 626 2470 452 1251 3395
176,1374 2326 339 1807 1711 1592 3172 278 3569 1809
177,530 20 677 545 3269 2688 1039 1403 2210 1057
178,47 3511 253 3581 2070 1943 1271 1776 70 3420
179,573 3653 498 523 3666 2234 3015 2796 3258 159
180,2401 583 1449 3020 1961 2298 3271 1245 511 1130
181,2488 1186 3382 3269 707 188 779 1560 1888 108
182,618 132 1985 3151 3159 523 93 407 3015 1144
183,621 2980 3046 1490 3511 1287 3036 793 3053 2297
184,204 512 2071 2636 2587 2763 3489 784 2063 3666
185,1390 3607 1952 866 3289 1544 3302 1459 540 1980
186,29 3227 3696 3701 2636 917 1644 3528 618 3409
187,1950 3141 2813 1916 989 2820 1592 3317 3482 3537
188,2277 1481 913 2606 3280 3418 1392 1912 1177 1982
189,2510 1378 1871 2617 3396 2141 1792 1699 535 1429
190,3338 233 3077 2839 1001 3000 3528 966 1070 833
191,3367 1164 214 1952 1792 772 401 632 2306 2086
192,966 583 1184 2140 1213 797 817 2465 3371 983
193,1560 2916 887 382 1947 512 1888 2234 676 1003
194,2132 121 1543 1223 3151 1811 2128 1592 3551 1560
195,3335 2308 1023 1227 3438 2475 872 131 3437 2117
196,73 784 3423 880 2664 231 2261 1012 2140 2606
197,2148 93 772 2922 3424 2688 1706 1324 2277 523
198,1045 3213 73 2221 474 3113 2112 2969 3064 151
199,1864 2345 232 3274 2201 1003 285 108 319 2834
200,2056 1641 1375 220 133 2256 1398 1428 2430 3243
201,1039 1583 971 119 2250 3051 376 1741 3534 1356
202,476 3694 1211 463 2297 3401 3377 584 2334 1144
203,382 1052 797 1332 1538 3015 319 676 1003 1467
204,1667 7 2677 1165 2697 327 2334 2796 1003 3258
205,2219 2528 1516 1401 2603 3382 2745 3510 3110 2256
206,2602 183 2757 2980 1617 1510 331 3435 2240 1425
207,3657 2908 2291 1905 2006 3529 2474 463 3482 2316
208,1808 1568 3581 1078 601 2240 2334 2201 1144 2796
209,1849 2784 2616 2278 2603 79 813 2336 3198 569
210,3101 2084 1686 1418 3666 2334 2201 3015 676 1003
211,3694 3668 2210 3382 2800 1968 2240 159 1144 676
212,2076 472 2185 2515 3238 1831 1887 327 1888 2334
213,785 2626 944 293 1868 2768 1425 1144 2796 676
214,680 3240 2029 919 1527 3300 2819 1773 929 2112
215,584 1525 3534 2887 1471 331 169 3020 1593 2510
216,2673 490 1689 3180 476 1746 6 1057 3557 1069
217,1070 73 646 784 2874 2718 3532 1729 583 1959
218,411 3616 1043 700 3181 497 1773 1527 1377 3185
219,498 3125 2477 2688 2009 3311 389 1337 2240 2334
220,796 741 169 1316 2265 59 1001 2956 646 1956
221,482 3437 3111 2438 221 3597 872 583 2136 1337
222,2556 1982 2337 104 1392 2932 740 913 470 3673
223,1516 3562 1731 1490 793 3286 176 382 1809 1543
224,2281 1947 1086 2354 1687 966 1233 488 2653 1868
225,3253 868 1205 2534 545 361 2492 1808 20 2397
226,543 795 190 1641 451 1711 2621 37 2898 1871
227,1160 3087 2397 849 2125 501 563 397 142 1171
228,3511 1044 212 2194 2050 1956 1825 1210 3234 879
229,147 1544 1403 2265 761 1970 3180 3551 3629 1943
230,974 1186 3557 2119 1808 3000 2240 3666 2234 676
231,771 3151 1296 1928 3649 1930 1888 3666 2240 2334
232,421 631 3105 2224 3142 3225 1583 2862 1223 3013
233,2384 132 1797 779 346 1039 236 523 3653 1316
234,1001 724 2056 1678 508 1690 3402 2956 1227 2219
235,584 3187 3371 2541 1868 3335 609 2240 2201 1144
236,1956 506 3421 3535 1997 3172 2258 2452 2382 631
237,1385 1830 1871 680 2159 2275 2916 311 2493 2090
238,75 2862 3269 3151 732 2688 2510 320 1316 124
239,1868 640 2980 3311 2240 3666 2334 3015 3258 1805
240,29 1830 305 1560 2528 1453 476 2169 22 406
241,3066 2127 3159 2974 601 3068 1216 2908 3110 1423
242,3090 2165 253 1069 1051 2961 29 3366 2541 3415
243,2054 1887 2862 1543 2265 409 1037 775 2334 159
244,1175 3598 304 1099 1621 331 563 2613 2159 650
245,2370 1560 120 1421 1858 2054 1459 327 2201 2796
246,3694 1376 2501 1858 802 1868 3030 1670 1888 1144
247,3238 2509 883 2402 472 2528 1887 1526 3666 2240
248,81 2757 785 1746 3031 2199 1030 1169 3441 1337
249,3345 2146 2572 2397 3061 833 485 1032 2339 2231
250,461 2335 1505 617 791 3079 1177 3131 915 3338
251,762 3035 2227 2493 1888 2240 3015 1144 2796 2834
252,109 2646 1211 1172 3262 1831 2240 676 3258 1467
253,1800 1386 138 69 2282 3350 327 1144 285 108
254,2387 3311 2980 3050 1888 2240 2334 2234 1144 2796
255,500 1055 3012 589 1659 2165 2961 3659 365 1645
256,201 1831 2569 2973 674 1142 1110 1102 2382 138
257,2630 803 1711 622 833 3583 152 2470 2751 2334
258,3424 1691 2982 3600 3276 2447 2480 2732 589 452
259,2224 3336 3528 1456 3374 1223 3666 2240 676 159
260,2418 1807 1184 3595 3448 1840 883 37 3402 561
261,2236 3350 2399 568 783 3168 2421 2353 1103 3636
262,340 2529 338 316 2029 0 1230 3545 1733 278
263,2261 1658 2969 1079 1375 1057 3113 1641 309 3282
264,3157 1201 1627 642 89 1430 3194 1032 2853 182
265,1658 12 2261 220 2969 1690 1219 3473 401 1511
266,3642 2185 2574 1545 2814 2205 1888 3015 2234 676
267,3374 899 1275 2751 151 1322 2836 121 1957 1174
268,3669 3367 2218 2915 1193 1758 1655 2397 2379 2006
269,631 2086 1609 2664 1775 2054 1859 2457 291 2056
270,3610 1348 1691 3187 1272 2255 3600 762 3030 3404
271,743 1044 830 283 2218 1100 2240 2234 2796 676
272,3216 1134 69 2067 2389 3317 3646 2154 1172 228
273,1614 2534 2410 3153 2054 1316 320 2646 147 1946
274,1287 1044 1429 2801 1672 3657 313 3209 1518 2688
275,2862 2847 2400 1315 1316 2478 1888 2334 2201 1805
276,796 86 732 1279 779 3653 618 2862 3013 136
277,2519 1375 2664 3000 2980 1888 2334 3015 285 2369
278,3068 2797 1139 1068 3464 1057 3202 464 1690 474
279,3142 1914 3082 3048 2450 2606 1038 755 3051 2999
280,493 3203 1328 2326 1617 3215 1248 331 3408 3238
281,2082 1773 463 3020 1674 3405 883 2636 3119 2327
282,502 1681 35 2136 475 3565 2240 1425 676 1467
283,2328 2327 1375 3646 1178 790 1040 1428 1376 1057
284,3694 2613 2265 333 1984 3234 2409 569 1939 1052
285,1560 3441 476 1746 2617 2141 1871 208 793 2515
286,1304 1131 3528 1040 3203 1439 2980 2636 65 3475
287,2782 2928 1619 2172 2548 2181 3019 1747 3534 1822
288,3667 3371 904 2618 1329 304 142 1984 2125 3027
289,2195 1825 3021 944 1282 213 1983 1252 2237 1662
290,1729 906 1414 3005 1830 3463 1259 67 583 324
291,1039 3473 2664 1315 232 1223 2862 3409 124 2509
292,1517 2653 3363 2172 488 427 270 2191 1060 174
293,2795 3231 1893 1330 1309 2768 487 1920 2256 94
294,2827 1043 1377 2008 3360 3169 296 697 700 2217
295,2676 2335 3489 1536 2709 1070 3159 1186 798 237
296,978 452 79 1822 702 2872 570 1573 762 1754
297,488 2012 3063 105 1210 1139 198 2145 616 2245
298,3602 1689 1593 1354 785 3694 476 208 2988 3066
299,3196 1836 2060 1775 2920 584 1630 246 611 512
300,2332 843 2685 1337 2117 2363 2304 1207 1545 1086
301,1738 2048 3358 3435 2900 2397 3670 3022 1583 3534
302,3677 225 3692 2365 1762 1300 2557 1638 402 676
303,438 1371 794 2311 650 887 1888 3666 2240 2334
304,1800 3080 1045 3649 1948 1218 289 1402 2851 658
305,1771 3562 494 2956 3038 804 1711 1227 1382 1341
306,3048 572 1279 2121 907 2817 1888 2240 2334 1425
307,1700 3101 702 1464 1795 3303 2614 193 3404 3642
308,1746 82 109 3418 1543 2389 1888 2201 2234 2796
309,1491 1374 2365 36 883 631 3670 1036 525 2666
310,3677 1811 32 640 463 1831 1888 1144 2796 108
311,2606 2076 1807 874 3048 20 2354 2140 300 2470
312,3352 340 3513 1501 2210 3473 2603 2510 2297 2602
313,1811 1057 2664 2256 3059 883 462 779 1487 36
314,2291 817 642 314 1938 757 534 872 1627 1827
315,2309 188 2622 1033 622 211 3437 3435 754 1193
316,1463 3095 1376 1782 472 467 186 979 1350 1888
317,873 2325 3256 1227 738 3141 3438 521 3423 3023
318,2067 1571 2512 707 1077 772 3000 2334 2234 1003
319,785 138 1956 398 2334 2234 1144 2796 3258 1003
320,3340 29 1504 1881 431 2457 406 3350 1218 621
321,1279 2067 2617 1840 3059 1590 513 2534 1211 966
322,1287 1850 1705 605 1672 1323 1770 3660 2716 2129
323,231 2780 3421 3060 3151 487 2117 2963 1100 609
324,2006 534 3084 3465 2109 1811 524 2281 2528 3677
325,2006 2800 1084 2054 2972 2483 2234 2796 676 1805
326,774 1736 3238 2980 3172 2541 1108 2602 398 1888
327,1279 452 3375 2327 248 3276 796 3473 2801 3215
328,3159 638 474 1139 2076 1070 1504 1233 3609 3594
329,2365 2281 2054 1811 1887 3562 2240 159 2234 3015
330,601 329 2127 853 2705 192 2334 159 1467 1805
331,467 2117 2480 983 2291 438 3371 1989 3055 2639
332,428 2136 2900 1681 3299 3384 475 3514 3565 3102
333,3272 3628 569 1937 2953 2345 1691 3656 3406 3187
334,2140 3253 3349 3231 2527 2397 1888 1425 2201 3015
335,2466 986 1868 1545 3430 650 1186 166 204 169
336,3248 70 553 1223 3666 2334 1425 2201 108 206
337,331 2106 2397 2700 3166 3231 3381 148 461 1348
338,2402 2646 12 1598 3656 107 1037 2653 2240 2334
339,3212 1396 458 1548 1363 3216 1403 892 184 2510
340,2784 3082 2980 2041 2047 1587 1423 1736 1374 1427
341,361 1023 1814 2308 1184 3579 3479 2215 1227 3306
342,2502 2353 406 732 2544 169 327 3666 2234 1144
343,922 1912 2664 232 79 2345 1868 3656 1884 778
344,482 398 2468 2589 3036 1809 2484 1840 293 280
345,476 3528 1030 1490 2331 1888 3666 2334 1425 2796
346,2956 2597 1086 2185 3311 2240 3666 2334 3015 1144
347,1240 2636 1658 1001 2457 166 1193 872 3215 1033
348,65 1043 1275 2339 3483 3316 1977 3195 3615 3423
349,232 79 666 293 849 1246 2524 1167 94 1809
350,1850 2613 1175 1303 418 2885 1984 1007 1621 2194
351,1070 59 663 3701 1289 3700 3532 517 2029 2069
352,831 1275 1322 3209 3223 2262 2350 3375 3588 3196
353,2338 728 3179 113 988 1947 120 1820 3415 1052
354,2626 2328 1030 3248 785 214 3317 7 165 2273
355,1289 1279 2862 2557 2817 2389 1916 184 2316 1303
356,1960 3441 3562 3365 3472 1888 2240 1425 2201 2234
357,1248 1617 2340 1510 182 890 2485 1375 1921 1081
358,494 989 772 1164 1732 2427 327 2240 3666 2201
359,1296 228 401 1950 2510 2988 2290 2345 607 2067
360,2467 456 3119 792 563 2373 1678 2076 2851 1426
361,3402 3528 1912 2956 1963 1888 2334 3015 1144 3258
362,818 3441 1871 2847 476 584 1746 785 2757 2129
363,1309 2050 46 3397 2695 708 1735 1914 2033 662
364,1132 1353 3350 463 1830 3247 2122 327 2334 1425
365,3390 2465 3256 2359 3029 1507 327 2240 3015 1144
366,3692 1859 1912 1553 2932 3373 12 2732 3528 922
367,131 3385 2966 3463 1803 3165 571 464 2925 2406
368,2646 1001 37 2768 622 1615 3059 1814 2410 361
369,3157 1653 261 2572 1118 2379 2762 2231 765 1032
370,1552 3642 3473 526 36 3694 1551 2006 2173 543
371,1172 2626 2645 3049 512 133 761 2327 2036 3269
372,1134 1011 1439 2290 1901 775 2334 1425 2201 2708
373,2062 2698 3182 2782 2804 2420 1327 3161 206 185
374,501 331 615 672 452 2345 2139 3352 340 2117
375,2980 105 2480 2194 3435 1617 2613 2653 528 792
376,2956 212 1001 3705 2732 2210 1888 2240 1425 2201
377,569 1583 2688 3473 2349 640 2314 523 3409 3692
378,799 2224 1887 132 2402 2370 3116 1386 1084 2646
379,1164 1592 1699 487 1348 3253 382 810 3610 1453
380,1216 2261 3534 922 474 1134 220 3215 99 1525
381,1831 383 1140 3122 1746 3694 3016 849 1490 3286
382,999 891 2643 3228 2325 2465 3669 295 2480 2117
383,2281 3677 204 73 1848 59 2335 3489 784 2592
384,1470 394 3473 2067 3215 3116 1924 1217 3353 2384
385,1755 1733 3355 249 49 3565 2209 3271 343 2454
386,1403 1545 183 120 2697 3253 487 382 1667 3666
387,1916 968 3435 331 1738 2273 174 1223 1354 2334
388,2073 1889 379 2107 392 2512 761 216 1901 674
389,650 2589 592 3238 2908 1052 2240 2201 2796 3258
390,2250 2757 3046 2664 1039 2676 2768 2328 2980 2812
391,2757 3048 1078 1374 119 1216 1375 1546 2342 3060
392,2666 1163 2332 2781 3363 3589 400 579 2518 1418
393,1227 1184 3669 1901 462 176 761 3264 2600 3046
394,3247 569 1505 2407 2384 1649 2721 2798 3409 1316
395,2768 1084 107 1134 2048 3067 2800 1671 1250 2240
396,2768 1553 2956 1808 1227 3227 1134 3427 2833 361
397,3048 2603 2297 1078 113 2334 1144 2796 676 159
398,2789 1912 2857 2606 3013 384 428 1172 2630 1086
399,3406 2345 2688 3409 618 1223 2796 3258 159 285
400,183 2960 1013 1948 304 2492 2626 1888 3666 676
401,40 2859 1794 2530 1183 1626 628 299 2118 224
402,3597 3550 2836 2256 1333 2110 899 2002 3644 1045
403,476 1746 3472 584 2757 293 1888 2201 3258 1467
404,2794 335 2666 2068 619 1443 3619 3294 214 913
405,622 2024 2910 2306 1848 2980 1888 2334 3015 2234
406,3266 2827 680 890 987 1067 1527 96 3194 2125
407,94 1316 3677 3669 1341 3116 3316 1792 1425 2234
408,3421 2059 288 2176 2388 881 859 142 1644 1959
409,1190 1084 184 1186 237 3159 2951 2119 421 1609
410,3406 1337 312 1686 2670 1670 189 2349 401 581
411,3364 1855 2067 2470 42 237 2493 2210 573 1888
412,2054 3086 402 3438 2980 79 3276 232 452 3600
413,3059 3694 500 1592 2326 190 3023 260 2881 1715
414,1788 2366 2630 109 214 1211 3694 476 82 2469
415,3151 2709 1263 2717 1811 1560 2334 1003 159 319
416,1216 2326 2757 1108 2602 1546 502 119 3234 2645
417,2024 457 1840 1118 2218 3409 3339 2338 1888 2334
418,485 1618 3345 1603 802 2050 944 1211 208 1912
419,456 1858 472 246 1678 2334 2234 1144 676 1805
420,2983 2258 1406 523 147 2240 1425 2201 2234 3258
421,254 3087 830 2329 411 1835 3411 743 616 566
422,863 3535 1963 1491 3673 1658 1193 677 3086 3213
423,204 2119 1848 2587 3338 1240 1652 1692 1808 663
424,237 3066 3159 601 2840 1300 3110 2256 1913 2127
425,2603 2578 2067 2633 2732 799 183 543 3332 1180
426,2593 2490 3321 2584 128 1777 2952 2613 1377 96
427,429 1039 290 2327 3269 1057 1403 1011 3652 1888
428,1752 3374 947 1365 2353 1271 1687 304 94 1014
429,2528 3013 2148 1560 327 1888 3666 2240 2334 2201
430,993 1517 1630 2579 3187 1048 1633 2326 1849 1825
431,849 845 1703 1287 1443 1939 1888 2240 2334 1425
432,1465 3369 1791 1590 2224 2128 327 2234 285 108
433,1309 1512 29 1645 1504 3700 1507 3648 517 1279
434,3353 2706 3362 1124 3276 1470 605 565 677 3403
435,3469 3455 3185 2632 3616 2324 2275 2130 1867 2703
436,2265 2603 2054 12 2334 1425 2201 2796 1003 159
437,646 3234 212 339 915 1541 3476 1516 3465 2338
438,1700 2933 1377 3395 183 3365 3090 2110 1343 1460
439,2354 884 2420 75 1633 476 1691 1201 3656 36
440,1956 771 1831 3529 3367 563 2234 2796 319 2369
441,472 133 1375 2006 674 1551 538 3665 2240 2334
442,3133 120 2132 3690 2240 2334 676 3258 1467 1805
443,2630 1376 3528 1216 2534 1924 1211 190 2256 3059
444,3333 1546 2337 728 3408 3510 3191 292 2655 1795
445,686 743 3435 1067 3360 1043 3602 994 2060 96
446,3555 2885 609 3656 1884 2334 2234 3015 676 1805
447,1086 488 1337 1122 2653 1868 1438 2321 3311 1754
448,1428 3297 2458 3235 583 1968 1275 3674 430 942
449,1827 234 1505 36 829 1511 3317 1888 2334 2796
450,3238 1365 1617 2222 313 563 1850 3358 3472 1044
451,3327 2117 1961 166 182 2044 2538 2637 295 923
452,2564 2862 3409 2991 1316 1077 640 1104 124 3153
453,175 2480 315 3474 1958 2376 3669 1149 430 1740
454,1337 1086 2363 3600 79 2145 2345 2756 2172 1545
455,1375 677 1738 1505 312 1754 3696 3087 1727 2488
456,2265 2224 2528 1315 2314 2086 2427 318 1316 3613
457,1736 1669 2266 1315 3251 159 2834 3240 1264 206
458,3168 1633 1422 527 2643 1560 1315 2234 1144 2796
459,3423 2248 3245 2493 3131 779 2557 2240 2201 3015
460,3212 1279 3423 280 2688 279 3666 159 1805 319
461,857 1954 2338 3406 246 482 2068 3677 2376 2370
462,1401 399 2817 2493 367 937 870 3245 147 499
463,1309 966 604 3438 1184 947 52 182 464 121
464,527 3205 3111 2774 2281 512 2240 2334 2234 3015
465,1365 650 686 398 3358 2397 1171 2186 382 1560
466,869 2527 528 3450 2334 1425 2201 2234 1003 159
467,2745 3382 2840 2256 3666 319 2234 1144 108 2369
468,2132 905 2139 2382 1984 2622 3415 3666 2334 2234
469,2567 2699 2484 2902 3061 3701 3152 2774 765 2916
470,1124 3529 563 3669 3562 2510 3602 1032 1633 1747
471,1573 1686 2614 762 1503 1425 3015 159 1805 2369
472,1376 1030 2800 309 2112 2004 1045 931 1888 2240
473,3187 3286 1191 186 1176 1801 312 1096 2670 1337
474,2833 3036 1592 2768 3579 1711 3247 3521 467 3256
475,2476 1464 43 1505 1686 1888 3666 2334 1425 2234
